property_name,link,society,price,bedRoom,bathroom,balcony,additionalRoom,facing,description,furnishDetails,rating,property_id,area_type,area_sqft,area_sqm,floor,total_floors,floor_category,is_high_rise,construction_status,age_0_to_1,age_1_to_5,age_5_to_10,age_10_plus,expected_possession_date,sector_number,loc_gurgaon,loc_gurugram,loc_delhi,loc_dwarka,loc_manesar,has_hospital,has_bank,has_gurgaon,has_school,has_sector,has_station,has_clinic,has_international,has_park,has_airport,has_road,has_mall,has_atm,has_gandhi,has_indira,has_centre,has_metro,has_university,has_gurugram,has_dwarka,has_dr,has_expressway,has_golf,has_hdfc,has_railway,has_sohna,has_dental,has_public,has_course,has_delhi,has_institute,has_rd,has_manesar,has_india,has_trampoline,has_skyjumper,has_icici,has_petrol,has_inn,has_pump,has_care,has_hotel,has_huda,has_technology,has_dpg,has_mandir,has_business,has_imt,has_intl,has_state,has_maternity,has_water,has_security,has_lift,has_maintenance,has_facility,has_parking,has_fire_safety,has_storage,has_gym_fitness,has_club_house,has_feng_shui,has_swimming_pool,has_shopping,has_rain_harvesting,has_waste_disposal,has_internet,has_natural_light,has_water_treatment,has_drainage,has_large_rooms,has_piped_gas,has_high_ceiling,has_separate_servant_entry
2 BHK Flat in Krishna Colony,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-krishna-colony-gurgaon-900-sq-ft-spid-C68850746,maa bhagwati residency,45.0,2.0,2.0,1.0,,West,"So with lift.Maa bhagwati residency is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in krishna colony is your opportunity to be a part of this community. The flat occupies a carpet area of 900 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the top floor of this 4 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move.","['3 Fan', '4 Light', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",C68850746,Carpet area,900.0,83.61,4.0,4.0,high,0,ready,0,1,0,0,,,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Ashok Vihar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-apna-enclave-ashok-vihar-gurgaon-650-sq-ft-spid-H68850564,Apna Enclave,50.0,2.0,2.0,1.0,,West,"Property situated on main road, railway station just 500mtrs, rajeev chowk just 2km, extraordinary security and very good connectivity for entire ncr","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '3 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",H68850564,Carpet area,650.0,60.39,1.0,3.0,mid,0,ready,0,0,0,1,,,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tulsiani-easy-in-homes-sohna-gurgaon-595-sq-ft-spid-J68850120,Tulsiani Easy in Homes,40.0,2.0,2.0,3.0,,,"This property is 15 km away from badshapur, gurugram.It's under tunsiani construction call easy in homes right on sohna highway, hardly away from toll plaza...",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",J68850120,Carpet area,595.0,55.28,12.0,14.0,high,0,ready,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 61 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1200-sq-ft-spid-S68849476,Smart World Orchard,147.0,2.0,2.0,2.0,Study Room,,"Near to metro station of sector 56 and opposite leading 5 star hotel - Hyatt. Posh locality
Prices negotiable",,,S68849476,Carpet area,1200.0,111.48,2.0,4.0,mid,0,future_possession,0,0,0,0,2023-12-01,61.0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0
2 BHK Flat in Sector 92 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-parkwood-westend-sector-92-gurgaon-1345-sq-ft-r4-spid-L47956793,Parkwood Westend,70.0,2.0,2.0,3.0,Study Room,,"We are the proud owners of this 2 bhk alongwith 1 study room apartment available in parkwood westend, sector-92, gurgaon. This apartmentit is a resale and the unit is located on the 5th floor and has a super built-Up area of 1345. 0 sq. Ft. It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type. The apartment has 1 covered parking and 1 open parking.",[],"['Environment5 out of 5', 'Safety3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",L47956793,Super Built up area ,1345.0,124.95,5.0,8.0,mid,0,under_construction,0,0,0,0,,92.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 36 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-36-gurgaon-654-sq-ft-spid-S68847140,Signature Global Infinity Mall,41.0,2.0,2.0,3.0,,,Best in class property available at sector 36 sohna location in gurgaon,,,S68847140,Built Up area,654.0,60.76,3.0,3.0,high,0,future_possession,0,0,0,0,,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 BHK Flat in Dwarka Expressway Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dwarka-expressway-gurgaon-1500-sq-ft-spid-O68844702,The Cocoon,200.0,3.0,3.0,3.0,,,Residential apartment for sell.The property comes with a good construction quality which ages 0-1 years old propertylocated in dwarka expressway gurgaon.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 20000000.Located on 5th floor out of the 25,[],,O68844702,Super Built up area ,1500.0,139.35,5.0,25.0,low,1,ready,1,0,0,0,,,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 104 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-K68839960,ATS Triumph3.9 ★,180.0,3.0,4.0,3.0,,,"Ats triumph is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 104 gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a carpet area of 2290 sq.Ft. The residential building has 27 floors in total and the flat for sale is located on the 14th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Many of the modern amenities being offered, like swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you.",[],"['Green Area4 out of 5', 'Amenities4.5 out of 5', 'Management5 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",K68839960,Carpet area,2290.0,212.75,14.0,27.0,mid,1,ready,1,0,0,0,,104.0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
2 BHK Flat in Sector 88B Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vatika-xpressions-sector-88b-gurgaon-1350-sq-ft-r2-spid-S50764468,Vatika Xpressions,110.00000000000001,2.0,4.0,3.0,Study Room,North-East,"We are the proud owners of this 2 bhk apartment available in vatika xpressions, sector-88b, gurgaon. This unfurnished apartment, priced approximately at rs. 10000 per sq. Meter or rs. 90 lakhs. It will be ready for possession by 2020. It is a resale and an under construction apartment. The unit is located on the 2nd floor and has a super built-Up area of 900 sq. Meter. It is a feng shui/vaastu compliant and has ceramic flooring. It has 4 bathroom(s) and more than 3 balcony(s). The ownership is leasehold type. The property offers the best in class facilities such as club house/community center, fitness centre/gym, intercom facility, lift(s), swimming pool, security personnel, park and rain water harvestin. It is positioned in a gated society. It offers an excellent view of the park/garden, main road, club and pool. The apartment has 1 covered parking.",,,S50764468,Built Up area,1350.0,125.42,2.0,3.0,high,0,under_construction,0,0,0,0,,88.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 78 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-raheja-revanta-sector-78-gurgaon-2813-sq-ft-spid-E68833932,Raheja Revanta,475.0,3.0,3.0,2.0,Servant Room,,"This 3 bhk flat is located in raheja revanta, which houses some of the most spacious flats in sector 78 gurgaon. The flat is over 2813 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 31st level of a 40 storey building. Moreover, the flat is currently under construction and possession is expected by december 2023. It is facing the aravallis forest.",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",E68833932,Built Up area,2813.0,261.34,31.0,40.0,high,1,future_possession,0,0,0,0,2023-12-01,78.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1
